simulation_time,seed,inflow_pass,inflow_exit,total_generated_vehicles,total_departed_vehicles,r_pass_departed_vehicles,r_exit_departed_vehicles,running_vehicles,exited_vehicles,canceled_vehicles,traffic volume,average_travel_time,average_r_pass_travel_time,average_r_exit_travel_time,average_speed,average_r_pass_speed,average_r_exit_speed,fairness_index,min_TTC,TET,total_collisions,total_vehicles_involved,max_tail_position
600,1,2520,1680,700,700,420,280,162,538,0,4200,103.469144981413,85.7315186246418,136.222751322751,17.3346729166244,19.8192452507726,12.7467589239381,447,0,332.400000000007,0,0,612.19670595849
600,2,2520,1680,700,700,420,280,186,514,0,4200,108.407392996109,91.4446153846154,137.57619047619,17.0501670333638,19.3100939125427,13.1640493839819,702,0,371.300000000016,0,0,908.188984000484
600,3,2520,1680,700,700,420,280,170,530,0,4200,104.534905660377,86.5728613569322,136.415183246073,17.247551445464,19.7367354658606,12.8295756186867,536,0,367.200000000015,0,0,668.325512538441
600,4,2520,1680,700,700,420,280,166,534,0,4200,104.613857677903,86.6763848396502,136.826178010471,17.1716174060418,19.6490563599658,12.722603996639,601,0,379.800000000018,0,0,669.953495342673
600,5,2520,1680,700,700,420,280,170,530,0,4200,100.629056603774,83.065191740413,131.802617801047,18.0548230976428,20.6594731665658,13.4319101480885,657,0,356.500000000013,0,0,725.424613496607
,,,,,,,,,,,,,,,,,,,,,,,
600,3,2520,1680,700,700,420,280,170.8,529.2,0,4200,104.330871583915,86.6981143892505,135.768584171307,17.3717663798274,19.8349208311415,12.9789796142668,588.6,0,361.440000000014,0,0,716.817862267339
