simulation_time,seed,inflow_pass,inflow_exit,total_generated_vehicles,total_departed_vehicles,r_pass_departed_vehicles,r_exit_departed_vehicles,running_vehicles,exited_vehicles,canceled_vehicles,traffic volume,average_travel_time,average_r_pass_travel_time,average_r_exit_travel_time,average_speed,average_r_pass_speed,average_r_exit_speed,fairness_index,min_TTC,TET,total_collisions,total_vehicles_involved,max_tail_position
600,1,2730,1470,700,700,455,245,113,587,0,4200,82.0264054514481,72.744,101.881818181818,20.7551831625671,22.7855777963137,16.4120930369059,113,0,39.0000000000003,0,0,617.567200809675
600,2,2730,1470,700,700,455,245,116,584,0,4200,89.701198630137,74.2722222222223,122.200531914894,19.778885742288,22.3970858979004,14.2639534996152,170,0.0801844642215755,56.5000000000005,0,0,791.642832620339
600,3,2730,1470,700,700,455,245,106,594,0,4200,86.1124579124579,73.5782178217822,112.764210526316,20.1050712632126,22.5347501249948,14.9388067360546,122,0,47.1000000000004,0,0,444.861534231961
600,4,2730,1470,700,700,455,245,111,589,0,4200,85.5648556876061,73.4286432160804,110.853926701571,20.1954405914579,22.5956388734995,15.1939802969419,143,0,48.2000000000004,0,0,564.354725754903
600,5,2730,1470,700,700,455,245,117,583,0,4200,86.5051457975987,73.6596446700508,113.283597883598,20.1504504138447,22.5780551449837,15.0897294399359,142,0.0247739326402834,41.5000000000003,0,0,628.044666177943
,,,,,,,,,,,,,,,,,,,,,,,
600,3,2730,1470,700,700,455,245,112.6,587.4,0,4200,85.9820126958496,73.5365455860271,112.196817041639,20.1970062346741,22.5782215675384,15.1797126018907,138,0.0209916793723718,46.4600000000004,0,0,609.294191918964
