simulation_time,seed,inflow_pass,inflow_exit,total_generated_vehicles,total_departed_vehicles,r_pass_departed_vehicles,r_exit_departed_vehicles,running_vehicles,exited_vehicles,canceled_vehicles,traffic volume,average_travel_time,average_r_pass_travel_time,average_r_exit_travel_time,average_speed,average_r_pass_speed,average_r_exit_speed,fairness_index,min_TTC,TET,total_collisions,total_vehicles_involved,max_tail_position
600,1,2730,1470,700,700,455,245,117,583,0,4200,82.263807890223,72.8532828282829,102.191978609626,20.7082151708768,22.7638669050934,16.3550703219478,123,0,54.2000000000005,0,0,399.84859631984
600,2,2730,1470,700,700,455,245,145,555,0,4200,95.672972972973,82.3305177111717,121.71914893617,18.5294836944602,20.6826210099116,14.3262847861055,213,0,206.999999999993,0,0,597.992469701372
600,3,2730,1470,700,700,455,245,107,593,0,4200,86.3261382799326,73.6627791563275,113.185789473684,20.0518979982076,22.4993885002459,14.8606418280946,125,0,57.9000000000006,0,0,425.143623782884
600,4,2730,1470,700,700,455,245,116,584,0,4200,85.1799657534248,72.9274809160306,110.39057591623,20.2813073832371,22.7299450659113,15.2430109995147,128,0.0616730446303445,68.4000000000004,0,0,458.019008046708
600,5,2730,1470,700,700,455,245,127,573,0,4200,88.0869109947644,76.1320312500001,112.37619047619,19.743770097225,21.9684977971485,15.22368842119,172,0,104.399999999998,1,2,503.800876244905
,,,,,,,,,,,,,,,,,,,,,,,
600,3,2730,1470,700,700,455,245,122.4,577.6,0,4200,87.5059591782635,75.5812183723626,111.97273668238,19.8629348688013,22.1288638556621,15.2017392713705,152.2,0.0123346089260689,98.3799999999985,0.2,0.4,476.960914819142
